step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
14,corner.diag,0,1,14,15,-1,1
223,corner.off,1,16,14,0,1,1
238,corner.off,16,256,0,15,-1,1
239,corner.off,256,4096,0,15,1,-1
254,corner.off,4096,65536,14,0,-1,-1
463,corner.diag,65536,65537,14,15,1,-1
478,corner.diag,65537,65538,0,0,-1,-1
479,corner.diag,65538,65539,0,0,1,1
494,corner.diag,65539,65540,14,15,-1,1
703,corner.off,65540,48637,14,0,1,1
718,corner.off,48637,778192,0,15,-1,1
719,corner.off,778192,451036,0,15,1,-1
734,corner.off,451036,216555,14,0,-1,-1
943,corner.diag,216555,216556,14,15,1,-1
958,corner.diag,216556,216557,0,0,-1,-1
959,corner.diag,216557,216558,0,0,1,1
974,corner.diag,216558,216559,14,15,-1,1
1183,corner.off,216559,464935,14,0,1,1
1198,corner.off,464935,438939,0,15,-1,1
1199,corner.off,438939,23003,0,15,1,-1
1214,corner.off,23003,368048,14,0,-1,-1
1423,corner.diag,368048,368049,14,15,1,-1
1438,corner.diag,368049,368050,0,0,-1,-1
1439,corner.diag,368050,368051,0,0,1,1
1454,corner.diag,368051,368052,14,15,-1,1
1663,corner.off,368052,888817,14,0,1,1
1678,corner.off,888817,221030,0,15,-1,1
1679,corner.off,221030,536471,0,15,1,-1
1694,corner.off,536471,583512,14,0,-1,-1
1903,corner.diag,583512,583513,14,15,1,-1
1918,corner.diag,583513,583514,0,0,-1,-1
1919,corner.diag,583514,583515,0,0,1,1
1934,corner.diag,583515,583516,14,15,-1,1
2143,corner.off,583516,336229,14,0,1,1
2158,corner.off,336229,379649,0,15,-1,1
2159,corner.off,379649,74366,0,15,1,-1
2174,corner.off,74366,189853,14,0,-1,-1
2383,corner.diag,189853,189854,14,15,1,-1
2398,corner.diag,189854,189855,0,0,-1,-1
2399,corner.diag,189855,189856,0,0,1,1
2414,corner.diag,189856,189857,14,15,-1,1
2623,corner.off,189857,37703,14,0,1,1
2638,corner.off,37703,603248,0,15,-1,1
2639,corner.off,603248,651941,0,15,1,-1
2654,corner.off,651941,431026,14,0,-1,-1
2863,corner.diag,431026,431027,14,15,1,-1
2878,corner.diag,431027,431028,0,0,-1,-1
2879,corner.diag,431028,431029,0,0,1,1
2894,corner.diag,431029,431030,14,15,-1,1
3103,corner.off,431030,896462,14,0,1,1
3118,corner.off,896462,343350,0,15,-1,1
3119,corner.off,343350,493585,0,15,1,-1
3134,corner.off,493585,897339,14,0,-1,-1
