step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
38,corner.off,0,0,7,0,1,-1
39,corner.off,0,0,7,0,-1,1
78,corner.diag,0,1,0,0,-1,-1
79,corner.diag,1,2,0,0,1,1
118,corner.off,2,18,7,0,1,-1
119,corner.off,18,162,7,0,-1,1
158,corner.diag,162,163,0,0,-1,-1
159,corner.diag,163,164,0,0,1,1
198,corner.off,164,1476,7,0,1,-1
199,corner.off,1476,13284,7,0,-1,1
238,corner.diag,13284,13285,0,0,-1,-1
239,corner.diag,13285,13286,0,0,1,1
278,corner.off,13286,119574,7,0,1,-1
279,corner.off,119574,76163,7,0,-1,1
318,corner.diag,76163,76164,0,0,-1,-1
319,corner.diag,76164,76165,0,0,1,1
358,corner.off,76165,685485,7,0,1,-1
359,corner.off,685485,169347,7,0,-1,1
398,corner.diag,169347,169348,0,0,-1,-1
399,corner.diag,169348,169349,0,0,1,1
438,corner.off,169349,524138,7,0,1,-1
439,corner.off,524138,717230,7,0,-1,1
478,corner.diag,717230,717231,0,0,-1,-1
479,corner.diag,717231,717232,0,0,1,1
518,corner.off,717232,455070,7,0,1,-1
519,corner.off,455070,95618,7,0,-1,1
558,corner.diag,95618,95619,0,0,-1,-1
559,corner.diag,95619,95620,0,0,1,1
598,corner.off,95620,860580,7,0,1,-1
599,corner.off,860580,745199,7,0,-1,1
638,corner.diag,745199,745200,0,0,-1,-1
639,corner.diag,745200,745201,0,0,1,1
678,corner.off,745201,706791,7,0,1,-1
679,corner.off,706791,361101,7,0,-1,1
718,corner.diag,361101,361102,0,0,-1,-1
719,corner.diag,361102,361103,0,0,1,1
758,corner.off,361103,249918,7,0,1,-1
759,corner.off,249918,249256,7,0,-1,1
798,corner.diag,249256,249257,0,0,-1,-1
799,corner.diag,249257,249258,0,0,1,1
838,corner.off,249258,243316,7,0,1,-1
839,corner.off,243316,189838,7,0,-1,1
878,corner.diag,189838,189839,0,0,-1,-1
879,corner.diag,189839,189840,0,0,1,1
918,corner.off,189840,708557,7,0,1,-1
919,corner.off,708557,376995,7,0,-1,1
958,corner.diag,376995,376996,0,0,-1,-1
959,corner.diag,376996,376997,0,0,1,1
998,corner.off,376997,392964,7,0,1,-1
999,corner.off,392964,536667,7,0,-1,1
1038,corner.diag,536667,536668,0,0,-1,-1
1039,corner.diag,536668,536669,0,0,1,1
1078,corner.off,536669,830009,7,0,1,-1
1079,corner.off,830009,470060,7,0,-1,1
1118,corner.diag,470060,470061,0,0,-1,-1
1119,corner.diag,470061,470062,0,0,1,1
1158,corner.off,470062,230546,7,0,1,-1
1159,corner.off,230546,74908,7,0,-1,1
1198,corner.diag,74908,74909,0,0,-1,-1
1199,corner.diag,74909,74910,0,0,1,1
1238,corner.off,74910,674190,7,0,1,-1
1239,corner.off,674190,67692,7,0,-1,1
1278,corner.diag,67692,67693,0,0,-1,-1
1279,corner.diag,67693,67694,0,0,1,1
1318,corner.off,67694,609246,7,0,1,-1
1319,corner.off,609246,483199,7,0,-1,1
1358,corner.diag,483199,483200,0,0,-1,-1
1359,corner.diag,483200,483201,0,0,1,1
1398,corner.off,483201,348797,7,0,1,-1
1399,corner.off,348797,139164,7,0,-1,1
1438,corner.diag,139164,139165,0,0,-1,-1
1439,corner.diag,139165,139166,0,0,1,1
1478,corner.off,139166,252491,7,0,1,-1
1479,corner.off,252491,272413,7,0,-1,1
1518,corner.diag,272413,272414,0,0,-1,-1
1519,corner.diag,272414,272415,0,0,1,1
1558,corner.off,272415,451729,7,0,1,-1
1559,corner.off,451729,65549,7,0,-1,1
1598,corner.diag,65549,65550,0,0,-1,-1
1599,corner.diag,65550,65551,0,0,1,1
1638,corner.off,65551,589959,7,0,1,-1
1639,corner.off,589959,309616,7,0,-1,1
1678,corner.diag,309616,309617,0,0,-1,-1
1679,corner.diag,309617,309618,0,0,1,1
1718,corner.off,309618,786556,7,0,1,-1
1719,corner.off,786556,78983,7,0,-1,1
1758,corner.diag,78983,78984,0,0,-1,-1
1759,corner.diag,78984,78985,0,0,1,1
1798,corner.off,78985,710865,7,0,1,-1
1799,corner.off,710865,397767,7,0,-1,1
1838,corner.diag,397767,397768,0,0,-1,-1
1839,corner.diag,397768,397769,0,0,1,1
1878,corner.off,397769,579912,7,0,1,-1
1879,corner.off,579912,219193,7,0,-1,1
1918,corner.diag,219193,219194,0,0,-1,-1
1919,corner.diag,219194,219195,0,0,1,1
1958,corner.off,219195,972752,7,0,1,-1
1959,corner.off,972752,754744,7,0,-1,1
1998,corner.diag,754744,754745,0,0,-1,-1
1999,corner.diag,754745,754746,0,0,1,1
2038,corner.off,754746,792696,7,0,1,-1
2039,corner.off,792696,134243,7,0,-1,1
2078,corner.diag,134243,134244,0,0,-1,-1
2079,corner.diag,134244,134245,0,0,1,1
2118,corner.off,134245,208202,7,0,1,-1
2119,corner.off,208202,873815,7,0,-1,1
2158,corner.diag,873815,873816,0,0,-1,-1
2159,corner.diag,873816,873817,0,0,1,1
2198,corner.off,873817,864332,7,0,1,-1
2199,corner.off,864332,778967,7,0,-1,1
2238,corner.diag,778967,778968,0,0,-1,-1
2239,corner.diag,778968,778969,0,0,1,1
2278,corner.off,778969,10700,7,0,1,-1
2279,corner.off,10700,96300,7,0,-1,1
2318,corner.diag,96300,96301,0,0,-1,-1
2319,corner.diag,96301,96302,0,0,1,1
2358,corner.off,96302,866718,7,0,1,-1
2359,corner.off,866718,800441,7,0,-1,1
2398,corner.diag,800441,800442,0,0,-1,-1
2399,corner.diag,800442,800443,0,0,1,1
2438,corner.off,800443,203966,7,0,1,-1
2439,corner.off,203966,835691,7,0,-1,1
2478,corner.diag,835691,835692,0,0,-1,-1
2479,corner.diag,835692,835693,0,0,1,1
2518,corner.off,835693,521216,7,0,1,-1
2519,corner.off,521216,690932,7,0,-1,1
2558,corner.diag,690932,690933,0,0,-1,-1
2559,corner.diag,690933,690934,0,0,1,1
2598,corner.off,690934,218388,7,0,1,-1
2599,corner.off,218388,965489,7,0,-1,1
2638,corner.diag,965489,965490,0,0,-1,-1
2639,corner.diag,965490,965491,0,0,1,1
2678,corner.off,965491,689395,7,0,1,-1
2679,corner.off,689395,204537,7,0,-1,1
2718,corner.diag,204537,204538,0,0,-1,-1
