step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
43,corner.off,0,0,8,0,1,1
53,corner.off,0,0,0,10,1,1
97,corner.diag,0,1,8,10,1,1
98,corner.diag,1,2,8,10,-1,-1
142,corner.off,2,20,0,10,-1,-1
152,corner.off,20,200,8,0,-1,-1
196,corner.diag,200,201,0,0,-1,-1
197,corner.diag,201,202,0,0,1,1
241,corner.off,202,2020,8,0,1,1
251,corner.off,2020,20200,0,10,1,1
295,corner.diag,20200,20201,8,10,1,1
296,corner.diag,20201,20202,8,10,-1,-1
340,corner.off,20202,202020,0,10,-1,-1
350,corner.off,202020,20194,8,0,-1,-1
394,corner.diag,20194,20195,0,0,-1,-1
395,corner.diag,20195,20196,0,0,1,1
439,corner.off,20196,201960,8,0,1,1
449,corner.off,201960,19594,0,10,1,1
493,corner.diag,19594,19595,8,10,1,1
494,corner.diag,19595,19596,8,10,-1,-1
538,corner.off,19596,195960,0,10,-1,-1
548,corner.off,195960,959597,8,0,-1,-1
592,corner.diag,959597,959598,0,0,-1,-1
593,corner.diag,959598,959599,0,0,1,1
637,corner.off,959599,595963,8,0,1,1
647,corner.off,595963,959615,0,10,1,1
691,corner.diag,959615,959616,8,10,1,1
692,corner.diag,959616,959617,8,10,-1,-1
736,corner.off,959617,596143,0,10,-1,-1
746,corner.off,596143,961415,8,0,-1,-1
790,corner.diag,961415,961416,0,0,-1,-1
791,corner.diag,961416,961417,0,0,1,1
835,corner.off,961417,614143,8,0,1,1
845,corner.off,614143,141412,0,10,1,1
889,corner.diag,141412,141413,8,10,1,1
890,corner.diag,141413,141414,8,10,-1,-1
934,corner.off,141414,414137,0,10,-1,-1
944,corner.off,414137,141358,8,0,-1,-1
988,corner.diag,141358,141359,0,0,-1,-1
989,corner.diag,141359,141360,0,0,1,1
1033,corner.off,141360,413597,8,0,1,1
1043,corner.off,413597,135958,0,10,1,1
1087,corner.diag,135958,135959,8,10,1,1
1088,corner.diag,135959,135960,8,10,-1,-1
1132,corner.off,135960,359597,0,10,-1,-1
1142,corner.off,359597,595961,8,0,-1,-1
1186,corner.diag,595961,595962,0,0,-1,-1
1187,corner.diag,595962,595963,0,0,1,1
1231,corner.off,595963,959615,8,0,1,1
1241,corner.off,959615,596123,0,10,1,1
1285,corner.diag,596123,596124,8,10,1,1
1286,corner.diag,596124,596125,8,10,-1,-1
1330,corner.off,596125,961235,0,10,-1,-1
1340,corner.off,961235,612323,8,0,-1,-1
1384,corner.diag,612323,612324,0,0,-1,-1
1385,corner.diag,612324,612325,0,0,1,1
1429,corner.off,612325,123232,8,0,1,1
1439,corner.off,123232,232317,0,10,1,1
1483,corner.diag,232317,232318,8,10,1,1
1484,corner.diag,232318,232319,8,10,-1,-1
1528,corner.off,232319,323184,0,10,-1,-1
1538,corner.off,323184,231831,8,0,-1,-1
1582,corner.diag,231831,231832,0,0,-1,-1
1583,corner.diag,231832,231833,0,0,1,1
1627,corner.off,231833,318324,8,0,1,1
1637,corner.off,318324,183231,0,10,1,1
1681,corner.diag,183231,183232,8,10,1,1
1682,corner.diag,183232,183233,8,10,-1,-1
1726,corner.off,183233,832327,0,10,-1,-1
1736,corner.off,832327,323246,8,0,-1,-1
1780,corner.diag,323246,323247,0,0,-1,-1
1781,corner.diag,323247,323248,0,0,1,1
1825,corner.off,323248,232471,8,0,1,1
1835,corner.off,232471,324704,0,10,1,1
1879,corner.diag,324704,324705,8,10,1,1
1880,corner.diag,324705,324706,8,10,-1,-1
1924,corner.off,324706,247051,0,10,-1,-1
1934,corner.off,247051,470504,8,0,-1,-1
1978,corner.diag,470504,470505,0,0,-1,-1
1979,corner.diag,470505,470506,0,0,1,1
2023,corner.off,470506,705048,8,0,1,1
2033,corner.off,705048,50459,0,10,1,1
2077,corner.diag,50459,50460,8,10,1,1
2078,corner.diag,50460,50461,8,10,-1,-1
2122,corner.off,50461,504610,0,10,-1,-1
2132,corner.off,504610,46085,8,0,-1,-1
2176,corner.diag,46085,46086,0,0,-1,-1
2177,corner.diag,46086,46087,0,0,1,1
2221,corner.off,46087,460870,8,0,1,1
2231,corner.off,460870,608688,0,10,1,1
2275,corner.diag,608688,608689,8,10,1,1
2276,corner.diag,608689,608690,8,10,-1,-1
2320,corner.off,608690,86882,0,10,-1,-1
2330,corner.off,86882,868820,8,0,-1,-1
2374,corner.diag,868820,868821,0,0,-1,-1
2375,corner.diag,868821,868822,0,0,1,1
2419,corner.off,868822,688196,8,0,1,1
2429,corner.off,688196,881942,0,10,1,1
2473,corner.diag,881942,881943,8,10,1,1
2474,corner.diag,881943,881944,8,10,-1,-1
2518,corner.off,881944,819416,0,10,-1,-1
2528,corner.off,819416,194136,8,0,-1,-1
2572,corner.diag,194136,194137,0,0,-1,-1
2573,corner.diag,194137,194138,0,0,1,1
2617,corner.off,194138,941377,8,0,1,1
2627,corner.off,941377,413743,0,10,1,1
2671,corner.diag,413743,413744,8,10,1,1
2672,corner.diag,413744,413745,8,10,-1,-1
2716,corner.off,413745,137438,0,10,-1,-1
2726,corner.off,137438,374377,8,0,-1,-1
2770,corner.diag,374377,374378,0,0,-1,-1
2771,corner.diag,374378,374379,0,0,1,1
2815,corner.off,374379,743781,8,0,1,1
2825,corner.off,743781,437789,0,10,1,1
2869,corner.diag,437789,437790,8,10,1,1
2870,corner.diag,437790,437791,8,10,-1,-1
2914,corner.off,437791,377898,0,10,-1,-1
2924,corner.off,377898,778971,8,0,-1,-1
2968,corner.diag,778971,778972,0,0,-1,-1
2969,corner.diag,778972,778973,0,0,1,1
3013,corner.off,778973,789709,8,0,1,1
3023,corner.off,789709,897069,0,10,1,1
3067,corner.diag,897069,897070,8,10,1,1
3068,corner.diag,897070,897071,8,10,-1,-1
3112,corner.off,897071,970686,0,10,-1,-1
3122,corner.off,970686,706833,8,0,-1,-1
3166,corner.diag,706833,706834,0,0,-1,-1
3167,corner.diag,706834,706835,0,0,1,1
3211,corner.off,706835,68329,8,0,1,1
3221,corner.off,68329,683290,0,10,1,1
3265,corner.diag,683290,683291,8,10,1,1
3266,corner.diag,683291,683292,8,10,-1,-1
3310,corner.off,683292,832902,0,10,-1,-1
3320,corner.off,832902,328996,8,0,-1,-1
3364,corner.diag,328996,328997,0,0,-1,-1
3365,corner.diag,328997,328998,0,0,1,1
3409,corner.off,328998,289971,8,0,1,1
3419,corner.off,289971,899704,0,10,1,1
3463,corner.diag,899704,899705,8,10,1,1
3464,corner.diag,899705,899706,8,10,-1,-1
3508,corner.off,899706,997036,0,10,-1,-1
3518,corner.off,997036,970333,8,0,-1,-1
3562,corner.diag,970333,970334,0,0,-1,-1
3563,corner.diag,970334,970335,0,0,1,1
3607,corner.off,970335,703323,8,0,1,1
3617,corner.off,703323,33209,0,10,1,1
3661,corner.diag,33209,33210,8,10,1,1
3662,corner.diag,33210,33211,8,10,-1,-1
3706,corner.off,33211,332110,0,10,-1,-1
3716,corner.off,332110,321091,8,0,-1,-1
3760,corner.diag,321091,321092,0,0,-1,-1
3761,corner.diag,321092,321093,0,0,1,1
3805,corner.off,321093,210921,8,0,1,1
3815,corner.off,210921,109204,0,10,1,1
3859,corner.diag,109204,109205,8,10,1,1
3860,corner.diag,109205,109206,8,10,-1,-1
3904,corner.off,109206,92057,0,10,-1,-1
3914,corner.off,92057,920570,8,0,-1,-1
3958,corner.diag,920570,920571,0,0,-1,-1
3959,corner.diag,920571,920572,0,0,1,1
4003,corner.off,920572,205693,8,0,1,1
4013,corner.off,205693,56924,0,10,1,1
4057,corner.diag,56924,56925,8,10,1,1
4058,corner.diag,56925,56926,8,10,-1,-1
4102,corner.off,56926,569260,0,10,-1,-1
4112,corner.off,569260,692585,8,0,-1,-1
4156,corner.diag,692585,692586,0,0,-1,-1
4157,corner.diag,692586,692587,0,0,1,1
4201,corner.off,692587,925852,8,0,1,1
4211,corner.off,925852,258493,0,10,1,1
4255,corner.diag,258493,258494,8,10,1,1
4256,corner.diag,258494,258495,8,10,-1,-1
4300,corner.off,258495,584944,0,10,-1,-1
4310,corner.off,584944,849425,8,0,-1,-1
4354,corner.diag,849425,849426,0,0,-1,-1
4355,corner.diag,849426,849427,0,0,1,1
4399,corner.off,849427,494246,8,0,1,1
4409,corner.off,494246,942448,0,10,1,1
4453,corner.diag,942448,942449,8,10,1,1
4454,corner.diag,942449,942450,8,10,-1,-1
4498,corner.off,942450,424473,0,10,-1,-1
4508,corner.off,424473,244718,8,0,-1,-1
4552,corner.diag,244718,244719,0,0,-1,-1
4553,corner.diag,244719,244720,0,0,1,1
4597,corner.off,244720,447194,8,0,1,1
4607,corner.off,447194,471928,0,10,1,1
4651,corner.diag,471928,471929,8,10,1,1
4652,corner.diag,471929,471930,8,10,-1,-1
4696,corner.off,471930,719288,0,10,-1,-1
4706,corner.off,719288,192859,8,0,-1,-1
4750,corner.diag,192859,192860,0,0,-1,-1
4751,corner.diag,192860,192861,0,0,1,1
4795,corner.off,192861,928607,8,0,1,1
4805,corner.off,928607,286043,0,10,1,1
4849,corner.diag,286043,286044,8,10,1,1
4850,corner.diag,286044,286045,8,10,-1,-1
4894,corner.off,286045,860444,0,10,-1,-1
4904,corner.off,860444,604416,8,0,-1,-1
