step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
89,corner.off,0,0,12,0,1,1
103,corner.off,0,0,0,14,1,1
193,corner.diag,0,1,12,14,1,1
194,corner.diag,1,2,12,14,-1,-1
284,corner.off,2,28,0,14,-1,-1
298,corner.off,28,392,12,0,-1,-1
388,corner.diag,392,393,0,0,-1,-1
389,corner.diag,393,394,0,0,1,1
479,corner.off,394,5516,12,0,1,1
493,corner.off,5516,77224,0,14,1,1
583,corner.diag,77224,77225,12,14,1,1
584,corner.diag,77225,77226,12,14,-1,-1
674,corner.off,77226,81161,0,14,-1,-1
688,corner.off,81161,136251,12,0,-1,-1
778,corner.diag,136251,136252,0,0,-1,-1
779,corner.diag,136252,136253,0,0,1,1
869,corner.off,136253,907539,12,0,1,1
883,corner.off,907539,705510,0,14,1,1
973,corner.diag,705510,705511,12,14,1,1
974,corner.diag,705511,705512,12,14,-1,-1
1064,corner.off,705512,877141,0,14,-1,-1
1078,corner.off,877141,279938,12,0,-1,-1
1168,corner.diag,279938,279939,0,0,-1,-1
1169,corner.diag,279939,279940,0,0,1,1
1259,corner.off,279940,919151,12,0,1,1
1273,corner.off,919151,868078,0,14,1,1
1363,corner.diag,868078,868079,12,14,1,1
1364,corner.diag,868079,868080,12,14,-1,-1
1454,corner.off,868080,153084,0,14,-1,-1
1468,corner.off,153084,143170,12,0,-1,-1
1558,corner.diag,143170,143171,0,0,-1,-1
1559,corner.diag,143171,143172,0,0,1,1
1649,corner.off,143172,4402,12,0,1,1
1663,corner.off,4402,61628,0,14,1,1
1753,corner.diag,61628,61629,12,14,1,1
1754,corner.diag,61629,61630,12,14,-1,-1
1844,corner.off,61630,862820,0,14,-1,-1
1858,corner.off,862820,79444,12,0,-1,-1
1948,corner.diag,79444,79445,0,0,-1,-1
1949,corner.diag,79445,79446,0,0,1,1
2039,corner.off,79446,112241,12,0,1,1
2053,corner.off,112241,571371,0,14,1,1
2143,corner.diag,571371,571372,12,14,1,1
2144,corner.diag,571372,571373,12,14,-1,-1
2234,corner.off,571373,999201,0,14,-1,-1
2248,corner.off,999201,988775,12,0,-1,-1
2338,corner.diag,988775,988776,0,0,-1,-1
2339,corner.diag,988776,988777,0,0,1,1
2429,corner.off,988777,842839,12,0,1,1
2443,corner.off,842839,799713,0,14,1,1
2533,corner.diag,799713,799714,12,14,1,1
2534,corner.diag,799714,799715,12,14,-1,-1
2624,corner.off,799715,195977,0,14,-1,-1
2638,corner.off,195977,743672,12,0,-1,-1
2728,corner.diag,743672,743673,0,0,-1,-1
2729,corner.diag,743673,743674,0,0,1,1
2819,corner.off,743674,411406,12,0,1,1
2833,corner.off,411406,759669,0,14,1,1
2923,corner.diag,759669,759670,12,14,1,1
2924,corner.diag,759670,759671,12,14,-1,-1
3014,corner.off,759671,635364,0,14,-1,-1
3028,corner.off,635364,895072,12,0,-1,-1
3118,corner.diag,895072,895073,0,0,-1,-1
3119,corner.diag,895073,895074,0,0,1,1
3209,corner.off,895074,531000,12,0,1,1
3223,corner.off,531000,433979,0,14,1,1
3313,corner.diag,433979,433980,12,14,1,1
3314,corner.diag,433980,433981,12,14,-1,-1
3404,corner.off,433981,75716,0,14,-1,-1
3418,corner.off,75716,60021,12,0,-1,-1
3508,corner.diag,60021,60022,0,0,-1,-1
3509,corner.diag,60022,60023,0,0,1,1
3599,corner.off,60023,840322,12,0,1,1
3613,corner.off,840322,764475,0,14,1,1
3703,corner.diag,764475,764476,12,14,1,1
3704,corner.diag,764476,764477,12,14,-1,-1
3794,corner.off,764477,702648,0,14,-1,-1
3808,corner.off,702648,837045,12,0,-1,-1
3898,corner.diag,837045,837046,0,0,-1,-1
3899,corner.diag,837046,837047,0,0,1,1
3989,corner.off,837047,718625,12,0,1,1
4003,corner.off,718625,60720,0,14,1,1
4093,corner.diag,60720,60721,12,14,1,1
4094,corner.diag,60721,60722,12,14,-1,-1
4184,corner.off,60722,850108,0,14,-1,-1
4198,corner.off,850108,901479,12,0,-1,-1
4288,corner.diag,901479,901480,0,0,-1,-1
4289,corner.diag,901480,901481,0,0,1,1
4379,corner.off,901481,620698,12,0,1,1
4393,corner.off,620698,689748,0,14,1,1
4483,corner.diag,689748,689749,12,14,1,1
4484,corner.diag,689749,689750,12,14,-1,-1
4574,corner.off,689750,656473,0,14,-1,-1
4588,corner.off,656473,190595,12,0,-1,-1
4678,corner.diag,190595,190596,0,0,-1,-1
4679,corner.diag,190596,190597,0,0,1,1
4769,corner.off,190597,668352,12,0,1,1
4783,corner.off,668352,356901,0,14,1,1
4873,corner.diag,356901,356902,12,14,1,1
4874,corner.diag,356902,356903,12,14,-1,-1
4964,corner.off,356903,996630,0,14,-1,-1
4978,corner.off,996630,952781,12,0,-1,-1
5068,corner.diag,952781,952782,0,0,-1,-1
5069,corner.diag,952782,952783,0,0,1,1
5159,corner.off,952783,338923,12,0,1,1
5173,corner.off,338923,744910,0,14,1,1
5263,corner.diag,744910,744911,12,14,1,1
5264,corner.diag,744911,744912,12,14,-1,-1
5354,corner.off,744912,428738,0,14,-1,-1
5368,corner.off,428738,2314,12,0,-1,-1
5458,corner.diag,2314,2315,0,0,-1,-1
5459,corner.diag,2315,2316,0,0,1,1
5549,corner.off,2316,32424,12,0,1,1
5563,corner.off,32424,453936,0,14,1,1
5653,corner.diag,453936,453937,12,14,1,1
5654,corner.diag,453937,453938,12,14,-1,-1
5744,corner.off,453938,355114,0,14,-1,-1
5758,corner.off,355114,971584,12,0,-1,-1
5848,corner.diag,971584,971585,0,0,-1,-1
5849,corner.diag,971585,971586,0,0,1,1
5939,corner.off,971586,602165,12,0,1,1
5953,corner.off,602165,430286,0,14,1,1
6043,corner.diag,430286,430287,12,14,1,1
6044,corner.diag,430287,430288,12,14,-1,-1
6134,corner.off,430288,24014,0,14,-1,-1
6148,corner.off,24014,336196,12,0,-1,-1
6238,corner.diag,336196,336197,0,0,-1,-1
6239,corner.diag,336197,336198,0,0,1,1
6329,corner.off,336198,706760,12,0,1,1
6343,corner.off,706760,894613,0,14,1,1
6433,corner.diag,894613,894614,12,14,1,1
6434,corner.diag,894614,894615,12,14,-1,-1
6524,corner.off,894615,524574,0,14,-1,-1
6538,corner.off,524574,344015,12,0,-1,-1
6628,corner.diag,344015,344016,0,0,-1,-1
6629,corner.diag,344016,344017,0,0,1,1
6719,corner.off,344017,816226,12,0,1,1
6733,corner.off,816226,427131,0,14,1,1
6823,corner.diag,427131,427132,12,14,1,1
6824,corner.diag,427132,427133,12,14,-1,-1
6914,corner.off,427133,979847,0,14,-1,-1
6928,corner.off,979847,717819,12,0,-1,-1
7018,corner.diag,717819,717820,0,0,-1,-1
7019,corner.diag,717820,717821,0,0,1,1
7109,corner.off,717821,49464,12,0,1,1
7123,corner.off,49464,692496,0,14,1,1
7213,corner.diag,692496,692497,12,14,1,1
7214,corner.diag,692497,692498,12,14,-1,-1
7304,corner.off,692498,694945,0,14,-1,-1
7318,corner.off,694945,729203,12,0,-1,-1
7408,corner.diag,729203,729204,0,0,-1,-1
7409,corner.diag,729204,729205,0,0,1,1
7499,corner.off,729205,208840,12,0,1,1
7513,corner.off,208840,923754,0,14,1,1
7603,corner.diag,923754,923755,12,14,1,1
7604,corner.diag,923755,923756,12,14,-1,-1
7694,corner.off,923756,932548,0,14,-1,-1
7708,corner.off,932548,55633,12,0,-1,-1
7798,corner.diag,55633,55634,0,0,-1,-1
7799,corner.diag,55634,55635,0,0,1,1
7889,corner.off,55635,778890,12,0,1,1
7903,corner.off,778890,904430,0,14,1,1
7993,corner.diag,904430,904431,12,14,1,1
7994,corner.diag,904431,904432,12,14,-1,-1
8084,corner.off,904432,662012,0,14,-1,-1
8098,corner.off,662012,268141,12,0,-1,-1
8188,corner.diag,268141,268142,0,0,-1,-1
8189,corner.diag,268142,268143,0,0,1,1
8279,corner.off,268143,753993,12,0,1,1
8293,corner.off,753993,555872,0,14,1,1
8383,corner.diag,555872,555873,12,14,1,1
8384,corner.diag,555873,555874,12,14,-1,-1
8474,corner.off,555874,782215,0,14,-1,-1
8488,corner.off,782215,950980,12,0,-1,-1
8578,corner.diag,950980,950981,0,0,-1,-1
8579,corner.diag,950981,950982,0,0,1,1
8669,corner.off,950982,313709,12,0,1,1
8683,corner.off,313709,391914,0,14,1,1
8773,corner.diag,391914,391915,12,14,1,1
8774,corner.diag,391915,391916,12,14,-1,-1
8864,corner.off,391916,486809,0,14,-1,-1
8878,corner.off,486809,815308,12,0,-1,-1
8968,corner.diag,815308,815309,0,0,-1,-1
8969,corner.diag,815309,815310,0,0,1,1
9059,corner.off,815310,414307,12,0,1,1
9073,corner.off,414307,800283,0,14,1,1
9163,corner.diag,800283,800284,12,14,1,1
9164,corner.diag,800284,800285,12,14,-1,-1
9254,corner.off,800285,203957,0,14,-1,-1
9268,corner.off,203957,855392,12,0,-1,-1
9358,corner.diag,855392,855393,0,0,-1,-1
9359,corner.diag,855393,855394,0,0,1,1
9449,corner.off,855394,975483,12,0,1,1
9463,corner.off,975483,656723,0,14,1,1
9553,corner.diag,656723,656724,12,14,1,1
9554,corner.diag,656724,656725,12,14,-1,-1
9644,corner.off,656725,194123,0,14,-1,-1
9658,corner.off,194123,717716,12,0,-1,-1
9748,corner.diag,717716,717717,0,0,-1,-1
9749,corner.diag,717717,717718,0,0,1,1
9839,corner.off,717718,48022,12,0,1,1
9853,corner.off,48022,672308,0,14,1,1
9943,corner.diag,672308,672309,12,14,1,1
9944,corner.diag,672309,672310,12,14,-1,-1
10034,corner.off,672310,412313,0,14,-1,-1
10048,corner.off,412313,772367,12,0,-1,-1
10138,corner.diag,772367,772368,0,0,-1,-1
10139,corner.diag,772368,772369,0,0,1,1
10229,corner.off,772369,813136,12,0,1,1
10243,corner.off,813136,383871,0,14,1,1
10333,corner.diag,383871,383872,12,14,1,1
10334,corner.diag,383872,383873,12,14,-1,-1
10424,corner.off,383873,374207,0,14,-1,-1
10438,corner.off,374207,238883,12,0,-1,-1
10528,corner.diag,238883,238884,0,0,-1,-1
10529,corner.diag,238884,238885,0,0,1,1
10619,corner.off,238885,344381,12,0,1,1
10633,corner.off,344381,821322,0,14,1,1
10723,corner.diag,821322,821323,12,14,1,1
10724,corner.diag,821323,821324,12,14,-1,-1
10814,corner.off,821324,498503,0,14,-1,-1
10828,corner.off,498503,979024,12,0,-1,-1
10918,corner.diag,979024,979025,0,0,-1,-1
10919,corner.diag,979025,979026,0,0,1,1
11009,corner.off,979026,706325,12,0,1,1
11023,corner.off,706325,888523,0,14,1,1
11113,corner.diag,888523,888524,12,14,1,1
11114,corner.diag,888524,888525,12,14,-1,-1
11204,corner.off,888525,439314,0,14,-1,-1
11218,corner.off,439314,150378,12,0,-1,-1
11308,corner.diag,150378,150379,0,0,-1,-1
11309,corner.diag,150379,150380,0,0,1,1
11399,corner.off,150380,105314,12,0,1,1
11413,corner.off,105314,474393,0,14,1,1
11503,corner.diag,474393,474394,12,14,1,1
11504,corner.diag,474394,474395,12,14,-1,-1
11594,corner.off,474395,641512,0,14,-1,-1
11608,corner.off,641512,981144,12,0,-1,-1
11698,corner.diag,981144,981145,0,0,-1,-1
11699,corner.diag,981145,981146,0,0,1,1
11789,corner.off,981146,736005,12,0,1,1
11803,corner.off,736005,304040,0,14,1,1
11893,corner.diag,304040,304041,12,14,1,1
11894,corner.diag,304041,304042,12,14,-1,-1
11984,corner.off,304042,256576,0,14,-1,-1
11998,corner.off,256576,592055,12,0,-1,-1
12088,corner.diag,592055,592056,0,0,-1,-1
12089,corner.diag,592056,592057,0,0,1,1
12179,corner.off,592057,288774,12,0,1,1
12193,corner.off,288774,42824,0,14,1,1
12283,corner.diag,42824,42825,12,14,1,1
12284,corner.diag,42825,42826,12,14,-1,-1
12374,corner.off,42826,599564,0,14,-1,-1
12388,corner.off,599564,393872,12,0,-1,-1
12478,corner.diag,393872,393873,0,0,-1,-1
12479,corner.diag,393873,393874,0,0,1,1
12569,corner.off,393874,514221,12,0,1,1
12583,corner.off,514221,199073,0,14,1,1
12673,corner.diag,199073,199074,12,14,1,1
12674,corner.diag,199074,199075,12,14,-1,-1
12764,corner.off,199075,787044,0,14,-1,-1
12778,corner.off,787044,18583,12,0,-1,-1
12868,corner.diag,18583,18584,0,0,-1,-1
12869,corner.diag,18584,18585,0,0,1,1
12959,corner.off,18585,260190,12,0,1,1
12973,corner.off,260190,642651,0,14,1,1
13063,corner.diag,642651,642652,12,14,1,1
13064,corner.diag,642652,642653,12,14,-1,-1
13154,corner.off,642653,997118,0,14,-1,-1
13168,corner.off,997118,959613,12,0,-1,-1
13258,corner.diag,959613,959614,0,0,-1,-1
13259,corner.diag,959614,959615,0,0,1,1
13349,corner.off,959615,434571,12,0,1,1
13363,corner.off,434571,83976,0,14,1,1
13453,corner.diag,83976,83977,12,14,1,1
13454,corner.diag,83977,83978,12,14,-1,-1
13544,corner.off,83978,175689,0,14,-1,-1
13558,corner.off,175689,459640,12,0,-1,-1
13648,corner.diag,459640,459641,0,0,-1,-1
13649,corner.diag,459641,459642,0,0,1,1
13739,corner.off,459642,434970,12,0,1,1
13753,corner.off,434970,89562,0,14,1,1
13843,corner.diag,89562,89563,12,14,1,1
13844,corner.diag,89563,89564,12,14,-1,-1
13934,corner.off,89564,253893,0,14,-1,-1
13948,corner.off,253893,554493,12,0,-1,-1
14038,corner.diag,554493,554494,0,0,-1,-1
14039,corner.diag,554494,554495,0,0,1,1
14129,corner.off,554495,762909,12,0,1,1
14143,corner.off,762909,680696,0,14,1,1
14233,corner.diag,680696,680697,12,14,1,1
14234,corner.diag,680697,680698,12,14,-1,-1
14324,corner.off,680698,529745,0,14,-1,-1
14338,corner.off,529745,416409,12,0,-1,-1
14428,corner.diag,416409,416410,0,0,-1,-1
14429,corner.diag,416410,416411,0,0,1,1
14519,corner.off,416411,829739,12,0,1,1
14533,corner.off,829739,616313,0,14,1,1
14623,corner.diag,616313,616314,12,14,1,1
14624,corner.diag,616314,616315,12,14,-1,-1
14714,corner.off,616315,628386,0,14,-1,-1
14728,corner.off,628386,797380,12,0,-1,-1
14818,corner.diag,797380,797381,0,0,-1,-1
14819,corner.diag,797381,797382,0,0,1,1
14909,corner.off,797382,163315,12,0,1,1
14923,corner.off,163315,286404,0,14,1,1
15013,corner.diag,286404,286405,12,14,1,1
15014,corner.diag,286405,286406,12,14,-1,-1
15104,corner.off,286406,9672,0,14,-1,-1
15118,corner.off,9672,135408,12,0,-1,-1
15208,corner.diag,135408,135409,0,0,-1,-1
15209,corner.diag,135409,135410,0,0,1,1
15299,corner.off,135410,895737,12,0,1,1
15313,corner.off,895737,540282,0,14,1,1
15403,corner.diag,540282,540283,12,14,1,1
15404,corner.diag,540283,540284,12,14,-1,-1
15494,corner.off,540284,563955,0,14,-1,-1
15508,corner.off,563955,895349,12,0,-1,-1
15598,corner.diag,895349,895350,0,0,-1,-1
15599,corner.diag,895350,895351,0,0,1,1
15689,corner.off,895351,534878,12,0,1,1
15703,corner.off,534878,488271,0,14,1,1
15793,corner.diag,488271,488272,12,14,1,1
15794,corner.diag,488272,488273,12,14,-1,-1
15884,corner.off,488273,835804,0,14,-1,-1
15898,corner.off,835804,701223,12,0,-1,-1
15988,corner.diag,701223,701224,0,0,-1,-1
15989,corner.diag,701224,701225,0,0,1,1
16079,corner.off,701225,817123,12,0,1,1
16093,corner.off,817123,439689,0,14,1,1
16183,corner.diag,439689,439690,12,14,1,1
16184,corner.diag,439690,439691,12,14,-1,-1
16274,corner.off,439691,155656,0,14,-1,-1
16288,corner.off,155656,179178,12,0,-1,-1
16378,corner.diag,179178,179179,0,0,-1,-1
16379,corner.diag,179179,179180,0,0,1,1
16469,corner.off,179180,508514,12,0,1,1
16483,corner.off,508514,119175,0,14,1,1
16573,corner.diag,119175,119176,12,14,1,1
16574,corner.diag,119176,119177,12,14,-1,-1
16664,corner.off,119177,668475,0,14,-1,-1
16678,corner.off,668475,358623,12,0,-1,-1
16768,corner.diag,358623,358624,0,0,-1,-1
16769,corner.diag,358624,358625,0,0,1,1
16859,corner.off,358625,20735,12,0,1,1
16873,corner.off,20735,290290,0,14,1,1
16963,corner.diag,290290,290291,12,14,1,1
16964,corner.diag,290291,290292,12,14,-1,-1
17054,corner.off,290292,64076,0,14,-1,-1
17068,corner.off,64076,897064,12,0,-1,-1
17158,corner.diag,897064,897065,0,0,-1,-1
17159,corner.diag,897065,897066,0,0,1,1
17249,corner.off,897066,558888,12,0,1,1
17263,corner.off,558888,824411,0,14,1,1
17353,corner.diag,824411,824412,12,14,1,1
17354,corner.diag,824412,824413,12,14,-1,-1
17444,corner.off,824413,541749,0,14,-1,-1
17458,corner.off,541749,584465,12,0,-1,-1
17548,corner.diag,584465,584466,0,0,-1,-1
17549,corner.diag,584466,584467,0,0,1,1
17639,corner.off,584467,182514,12,0,1,1
17653,corner.off,182514,555190,0,14,1,1
17743,corner.diag,555190,555191,12,14,1,1
17744,corner.diag,555191,555192,12,14,-1,-1
17834,corner.off,555192,772667,0,14,-1,-1
17848,corner.off,772667,817308,12,0,-1,-1
17938,corner.diag,817308,817309,0,0,-1,-1
17939,corner.diag,817309,817310,0,0,1,1
18029,corner.off,817310,442307,12,0,1,1
18043,corner.off,442307,192280,0,14,1,1
18133,corner.diag,192280,192281,12,14,1,1
18134,corner.diag,192281,192282,12,14,-1,-1
18224,corner.off,192282,691942,0,14,-1,-1
18238,corner.off,691942,687161,12,0,-1,-1
18328,corner.diag,687161,687162,0,0,-1,-1
18329,corner.diag,687162,687163,0,0,1,1
18419,corner.off,687163,620255,12,0,1,1
18433,corner.off,620255,683546,0,14,1,1
18523,corner.diag,683546,683547,12,14,1,1
18524,corner.diag,683547,683548,12,14,-1,-1
18614,corner.off,683548,569645,0,14,-1,-1
18628,corner.off,569645,975009,12,0,-1,-1
18718,corner.diag,975009,975010,0,0,-1,-1
18719,corner.diag,975010,975011,0,0,1,1
18809,corner.off,975011,650115,12,0,1,1
18823,corner.off,650115,101583,0,14,1,1
18913,corner.diag,101583,101584,12,14,1,1
18914,corner.diag,101584,101585,12,14,-1,-1
19004,corner.off,101585,422187,0,14,-1,-1
19018,corner.off,422187,910603,12,0,-1,-1
19108,corner.diag,910603,910604,0,0,-1,-1
19109,corner.diag,910604,910605,0,0,1,1
19199,corner.off,910605,748434,12,0,1,1
19213,corner.off,748434,478046,0,14,1,1
19303,corner.diag,478046,478047,12,14,1,1
19304,corner.diag,478047,478048,12,14,-1,-1
19394,corner.off,478048,692654,0,14,-1,-1
19408,corner.off,692654,697129,12,0,-1,-1
19498,corner.diag,697129,697130,0,0,-1,-1
19499,corner.diag,697130,697131,0,0,1,1
19589,corner.off,697131,759807,12,0,1,1
19603,corner.off,759807,637268,0,14,1,1
19693,corner.diag,637268,637269,12,14,1,1
19694,corner.diag,637269,637270,12,14,-1,-1
19784,corner.off,637270,921756,0,14,-1,-1
19798,corner.off,921756,904548,12,0,-1,-1
19888,corner.diag,904548,904549,0,0,-1,-1
19889,corner.diag,904549,904550,0,0,1,1
19979,corner.off,904550,663664,12,0,1,1
19993,corner.off,663664,291269,0,14,1,1
20083,corner.diag,291269,291270,12,14,1,1
20084,corner.diag,291270,291271,12,14,-1,-1
20174,corner.off,291271,77782,0,14,-1,-1
20188,corner.off,77782,88945,12,0,-1,-1
20278,corner.diag,88945,88946,0,0,-1,-1
20279,corner.diag,88946,88947,0,0,1,1
20369,corner.off,88947,245255,12,0,1,1
20383,corner.off,245255,433561,0,14,1,1
20473,corner.diag,433561,433562,12,14,1,1
20474,corner.diag,433562,433563,12,14,-1,-1
20564,corner.off,433563,69864,0,14,-1,-1
