step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
11,mirror.cross,0,0,8,10,2,1
20,mirror.cross,0,0,8,6,2,-1
29,mirror.cross,0,0,8,2,2,1
38,mirror.cross,0,0,8,11,2,1
47,mirror.cross,0,0,8,5,2,-1
52,corner.off,0,0,16,0,-2,-1
56,mirror.cross,0,0,8,3,2,1
65,mirror.cross,0,0,8,12,2,1
74,mirror.cross,0,0,8,4,2,-1
78,corner.off,0,0,16,0,2,-1
79,corner.off,0,0,16,0,-2,1
83,mirror.cross,0,0,8,4,2,1
92,mirror.cross,0,0,8,12,2,-1
101,mirror.cross,0,0,8,3,2,-1
105,corner.off,0,0,16,0,2,1
110,mirror.cross,0,0,8,5,2,1
119,mirror.cross,0,0,8,11,2,-1
128,mirror.cross,0,0,8,2,2,-1
137,mirror.cross,0,0,8,6,2,1
146,mirror.cross,0,0,8,10,2,-1
155,mirror.cross,0,0,8,1,2,-1
164,mirror.cross,0,0,8,7,2,1
169,corner.diag,0,1,16,12,-2,1
173,mirror.cross,1,-1,8,9,2,-1
182,mirror.cross,-1,1,8,0,2,-1
191,mirror.cross,1,-1,8,8,2,1
195,corner.diag,-1,0,16,12,2,1
196,corner.diag,0,1,16,12,-2,-1
200,mirror.cross,1,-1,8,8,2,-1
209,mirror.cross,-1,1,8,0,2,1
218,mirror.cross,1,-1,8,9,2,1
222,corner.diag,-1,0,16,12,2,-1
227,mirror.cross,0,0,8,7,2,-1
236,mirror.cross,0,0,8,1,2,1
245,mirror.cross,0,0,8,10,2,1
254,mirror.cross,0,0,8,6,2,-1
263,mirror.cross,0,0,8,2,2,1
272,mirror.cross,0,0,8,11,2,1
281,mirror.cross,0,0,8,5,2,-1
286,corner.off,0,0,16,0,-2,-1
290,mirror.cross,0,0,8,3,2,1
299,mirror.cross,0,0,8,12,2,1
308,mirror.cross,0,0,8,4,2,-1
312,corner.off,0,0,16,0,2,-1
313,corner.off,0,0,16,0,-2,1
317,mirror.cross,0,0,8,4,2,1
326,mirror.cross,0,0,8,12,2,-1
335,mirror.cross,0,0,8,3,2,-1
339,corner.off,0,0,16,0,2,1
344,mirror.cross,0,0,8,5,2,1
353,mirror.cross,0,0,8,11,2,-1
362,mirror.cross,0,0,8,2,2,-1
371,mirror.cross,0,0,8,6,2,1
380,mirror.cross,0,0,8,10,2,-1
389,mirror.cross,0,0,8,1,2,-1
398,mirror.cross,0,0,8,7,2,1
403,corner.diag,0,1,16,12,-2,1
407,mirror.cross,1,-1,8,9,2,-1
416,mirror.cross,-1,1,8,0,2,-1
425,mirror.cross,1,-1,8,8,2,1
429,corner.diag,-1,0,16,12,2,1
430,corner.diag,0,1,16,12,-2,-1
434,mirror.cross,1,-1,8,8,2,-1
443,mirror.cross,-1,1,8,0,2,1
452,mirror.cross,1,-1,8,9,2,1
456,corner.diag,-1,0,16,12,2,-1
461,mirror.cross,0,0,8,7,2,-1
470,mirror.cross,0,0,8,1,2,1
479,mirror.cross,0,0,8,10,2,1
488,mirror.cross,0,0,8,6,2,-1
497,mirror.cross,0,0,8,2,2,1
506,mirror.cross,0,0,8,11,2,1
515,mirror.cross,0,0,8,5,2,-1
520,corner.off,0,0,16,0,-2,-1
524,mirror.cross,0,0,8,3,2,1
533,mirror.cross,0,0,8,12,2,1
542,mirror.cross,0,0,8,4,2,-1
546,corner.off,0,0,16,0,2,-1
547,corner.off,0,0,16,0,-2,1
551,mirror.cross,0,0,8,4,2,1
560,mirror.cross,0,0,8,12,2,-1
569,mirror.cross,0,0,8,3,2,-1
573,corner.off,0,0,16,0,2,1
578,mirror.cross,0,0,8,5,2,1
587,mirror.cross,0,0,8,11,2,-1
596,mirror.cross,0,0,8,2,2,-1
605,mirror.cross,0,0,8,6,2,1
614,mirror.cross,0,0,8,10,2,-1
623,mirror.cross,0,0,8,1,2,-1
632,mirror.cross,0,0,8,7,2,1
637,corner.diag,0,1,16,12,-2,1
641,mirror.cross,1,-1,8,9,2,-1
650,mirror.cross,-1,1,8,0,2,-1
659,mirror.cross,1,-1,8,8,2,1
663,corner.diag,-1,0,16,12,2,1
664,corner.diag,0,1,16,12,-2,-1
668,mirror.cross,1,-1,8,8,2,-1
677,mirror.cross,-1,1,8,0,2,1
686,mirror.cross,1,-1,8,9,2,1
690,corner.diag,-1,0,16,12,2,-1
695,mirror.cross,0,0,8,7,2,-1
704,mirror.cross,0,0,8,1,2,1
713,mirror.cross,0,0,8,10,2,1
722,mirror.cross,0,0,8,6,2,-1
731,mirror.cross,0,0,8,2,2,1
740,mirror.cross,0,0,8,11,2,1
749,mirror.cross,0,0,8,5,2,-1
754,corner.off,0,0,16,0,-2,-1
758,mirror.cross,0,0,8,3,2,1
767,mirror.cross,0,0,8,12,2,1
776,mirror.cross,0,0,8,4,2,-1
780,corner.off,0,0,16,0,2,-1
781,corner.off,0,0,16,0,-2,1
785,mirror.cross,0,0,8,4,2,1
794,mirror.cross,0,0,8,12,2,-1
803,mirror.cross,0,0,8,3,2,-1
807,corner.off,0,0,16,0,2,1
812,mirror.cross,0,0,8,5,2,1
821,mirror.cross,0,0,8,11,2,-1
830,mirror.cross,0,0,8,2,2,-1
839,mirror.cross,0,0,8,6,2,1
848,mirror.cross,0,0,8,10,2,-1
857,mirror.cross,0,0,8,1,2,-1
866,mirror.cross,0,0,8,7,2,1
871,corner.diag,0,1,16,12,-2,1
875,mirror.cross,1,-1,8,9,2,-1
884,mirror.cross,-1,1,8,0,2,-1
893,mirror.cross,1,-1,8,8,2,1
897,corner.diag,-1,0,16,12,2,1
898,corner.diag,0,1,16,12,-2,-1
902,mirror.cross,1,-1,8,8,2,-1
911,mirror.cross,-1,1,8,0,2,1
920,mirror.cross,1,-1,8,9,2,1
924,corner.diag,-1,0,16,12,2,-1
929,mirror.cross,0,0,8,7,2,-1
938,mirror.cross,0,0,8,1,2,1
947,mirror.cross,0,0,8,10,2,1
956,mirror.cross,0,0,8,6,2,-1
965,mirror.cross,0,0,8,2,2,1
974,mirror.cross,0,0,8,11,2,1
983,mirror.cross,0,0,8,5,2,-1
988,corner.off,0,0,16,0,-2,-1
992,mirror.cross,0,0,8,3,2,1
1001,mirror.cross,0,0,8,12,2,1
1010,mirror.cross,0,0,8,4,2,-1
1014,corner.off,0,0,16,0,2,-1
1015,corner.off,0,0,16,0,-2,1
1019,mirror.cross,0,0,8,4,2,1
1028,mirror.cross,0,0,8,12,2,-1
1037,mirror.cross,0,0,8,3,2,-1
1041,corner.off,0,0,16,0,2,1
1046,mirror.cross,0,0,8,5,2,1
1055,mirror.cross,0,0,8,11,2,-1
1064,mirror.cross,0,0,8,2,2,-1
1073,mirror.cross,0,0,8,6,2,1
1082,mirror.cross,0,0,8,10,2,-1
1091,mirror.cross,0,0,8,1,2,-1
1100,mirror.cross,0,0,8,7,2,1
1105,corner.diag,0,1,16,12,-2,1
1109,mirror.cross,1,-1,8,9,2,-1
1118,mirror.cross,-1,1,8,0,2,-1
1127,mirror.cross,1,-1,8,8,2,1
1131,corner.diag,-1,0,16,12,2,1
1132,corner.diag,0,1,16,12,-2,-1
1136,mirror.cross,1,-1,8,8,2,-1
1145,mirror.cross,-1,1,8,0,2,1
1154,mirror.cross,1,-1,8,9,2,1
1158,corner.diag,-1,0,16,12,2,-1
1163,mirror.cross,0,0,8,7,2,-1
1172,mirror.cross,0,0,8,1,2,1
1181,mirror.cross,0,0,8,10,2,1
1190,mirror.cross,0,0,8,6,2,-1
1199,mirror.cross,0,0,8,2,2,1
1208,mirror.cross,0,0,8,11,2,1
1217,mirror.cross,0,0,8,5,2,-1
1222,corner.off,0,0,16,0,-2,-1
1226,mirror.cross,0,0,8,3,2,1
1235,mirror.cross,0,0,8,12,2,1
1244,mirror.cross,0,0,8,4,2,-1
1248,corner.off,0,0,16,0,2,-1
1249,corner.off,0,0,16,0,-2,1
1253,mirror.cross,0,0,8,4,2,1
1262,mirror.cross,0,0,8,12,2,-1
1271,mirror.cross,0,0,8,3,2,-1
1275,corner.off,0,0,16,0,2,1
1280,mirror.cross,0,0,8,5,2,1
1289,mirror.cross,0,0,8,11,2,-1
1298,mirror.cross,0,0,8,2,2,-1
1307,mirror.cross,0,0,8,6,2,1
1316,mirror.cross,0,0,8,10,2,-1
1325,mirror.cross,0,0,8,1,2,-1
1334,mirror.cross,0,0,8,7,2,1
1339,corner.diag,0,1,16,12,-2,1
1343,mirror.cross,1,-1,8,9,2,-1
1352,mirror.cross,-1,1,8,0,2,-1
1361,mirror.cross,1,-1,8,8,2,1
1365,corner.diag,-1,0,16,12,2,1
1366,corner.diag,0,1,16,12,-2,-1
1370,mirror.cross,1,-1,8,8,2,-1
1379,mirror.cross,-1,1,8,0,2,1
1388,mirror.cross,1,-1,8,9,2,1
1392,corner.diag,-1,0,16,12,2,-1
1397,mirror.cross,0,0,8,7,2,-1
1406,mirror.cross,0,0,8,1,2,1
1415,mirror.cross,0,0,8,10,2,1
1424,mirror.cross,0,0,8,6,2,-1
1433,mirror.cross,0,0,8,2,2,1
1442,mirror.cross,0,0,8,11,2,1
1451,mirror.cross,0,0,8,5,2,-1
1456,corner.off,0,0,16,0,-2,-1
1460,mirror.cross,0,0,8,3,2,1
1469,mirror.cross,0,0,8,12,2,1
1478,mirror.cross,0,0,8,4,2,-1
1482,corner.off,0,0,16,0,2,-1
1483,corner.off,0,0,16,0,-2,1
1487,mirror.cross,0,0,8,4,2,1
1496,mirror.cross,0,0,8,12,2,-1
1505,mirror.cross,0,0,8,3,2,-1
1509,corner.off,0,0,16,0,2,1
1514,mirror.cross,0,0,8,5,2,1
1523,mirror.cross,0,0,8,11,2,-1
1532,mirror.cross,0,0,8,2,2,-1
1541,mirror.cross,0,0,8,6,2,1
1550,mirror.cross,0,0,8,10,2,-1
1559,mirror.cross,0,0,8,1,2,-1
1568,mirror.cross,0,0,8,7,2,1
1573,corner.diag,0,1,16,12,-2,1
1577,mirror.cross,1,-1,8,9,2,-1
1586,mirror.cross,-1,1,8,0,2,-1
1595,mirror.cross,1,-1,8,8,2,1
1599,corner.diag,-1,0,16,12,2,1
1600,corner.diag,0,1,16,12,-2,-1
1604,mirror.cross,1,-1,8,8,2,-1
1613,mirror.cross,-1,1,8,0,2,1
1622,mirror.cross,1,-1,8,9,2,1
1626,corner.diag,-1,0,16,12,2,-1
1631,mirror.cross,0,0,8,7,2,-1
1640,mirror.cross,0,0,8,1,2,1
1649,mirror.cross,0,0,8,10,2,1
1658,mirror.cross,0,0,8,6,2,-1
1667,mirror.cross,0,0,8,2,2,1
1676,mirror.cross,0,0,8,11,2,1
1685,mirror.cross,0,0,8,5,2,-1
1690,corner.off,0,0,16,0,-2,-1
1694,mirror.cross,0,0,8,3,2,1
1703,mirror.cross,0,0,8,12,2,1
1712,mirror.cross,0,0,8,4,2,-1
1716,corner.off,0,0,16,0,2,-1
1717,corner.off,0,0,16,0,-2,1
1721,mirror.cross,0,0,8,4,2,1
1730,mirror.cross,0,0,8,12,2,-1
1739,mirror.cross,0,0,8,3,2,-1
1743,corner.off,0,0,16,0,2,1
1748,mirror.cross,0,0,8,5,2,1
1757,mirror.cross,0,0,8,11,2,-1
1766,mirror.cross,0,0,8,2,2,-1
1775,mirror.cross,0,0,8,6,2,1
1784,mirror.cross,0,0,8,10,2,-1
1793,mirror.cross,0,0,8,1,2,-1
1802,mirror.cross,0,0,8,7,2,1
1807,corner.diag,0,1,16,12,-2,1
1811,mirror.cross,1,-1,8,9,2,-1
1820,mirror.cross,-1,1,8,0,2,-1
1829,mirror.cross,1,-1,8,8,2,1
1833,corner.diag,-1,0,16,12,2,1
1834,corner.diag,0,1,16,12,-2,-1
1838,mirror.cross,1,-1,8,8,2,-1
1847,mirror.cross,-1,1,8,0,2,1
1856,mirror.cross,1,-1,8,9,2,1
1860,corner.diag,-1,0,16,12,2,-1
1865,mirror.cross,0,0,8,7,2,-1
1874,mirror.cross,0,0,8,1,2,1
1883,mirror.cross,0,0,8,10,2,1
1892,mirror.cross,0,0,8,6,2,-1
1901,mirror.cross,0,0,8,2,2,1
1910,mirror.cross,0,0,8,11,2,1
1919,mirror.cross,0,0,8,5,2,-1
1924,corner.off,0,0,16,0,-2,-1
1928,mirror.cross,0,0,8,3,2,1
1937,mirror.cross,0,0,8,12,2,1
1946,mirror.cross,0,0,8,4,2,-1
1950,corner.off,0,0,16,0,2,-1
1951,corner.off,0,0,16,0,-2,1
1955,mirror.cross,0,0,8,4,2,1
1964,mirror.cross,0,0,8,12,2,-1
1973,mirror.cross,0,0,8,3,2,-1
1977,corner.off,0,0,16,0,2,1
1982,mirror.cross,0,0,8,5,2,1
1991,mirror.cross,0,0,8,11,2,-1
2000,mirror.cross,0,0,8,2,2,-1
2009,mirror.cross,0,0,8,6,2,1
2018,mirror.cross,0,0,8,10,2,-1
2027,mirror.cross,0,0,8,1,2,-1
2036,mirror.cross,0,0,8,7,2,1
2041,corner.diag,0,1,16,12,-2,1
2045,mirror.cross,1,-1,8,9,2,-1
2054,mirror.cross,-1,1,8,0,2,-1
2063,mirror.cross,1,-1,8,8,2,1
2067,corner.diag,-1,0,16,12,2,1
2068,corner.diag,0,1,16,12,-2,-1
2072,mirror.cross,1,-1,8,8,2,-1
2081,mirror.cross,-1,1,8,0,2,1
2090,mirror.cross,1,-1,8,9,2,1
2094,corner.diag,-1,0,16,12,2,-1
2099,mirror.cross,0,0,8,7,2,-1
2108,mirror.cross,0,0,8,1,2,1
2117,mirror.cross,0,0,8,10,2,1
2126,mirror.cross,0,0,8,6,2,-1
2135,mirror.cross,0,0,8,2,2,1
2144,mirror.cross,0,0,8,11,2,1
2153,mirror.cross,0,0,8,5,2,-1
2158,corner.off,0,0,16,0,-2,-1
2162,mirror.cross,0,0,8,3,2,1
2171,mirror.cross,0,0,8,12,2,1
2180,mirror.cross,0,0,8,4,2,-1
2184,corner.off,0,0,16,0,2,-1
2185,corner.off,0,0,16,0,-2,1
2189,mirror.cross,0,0,8,4,2,1
2198,mirror.cross,0,0,8,12,2,-1
2207,mirror.cross,0,0,8,3,2,-1
2211,corner.off,0,0,16,0,2,1
2216,mirror.cross,0,0,8,5,2,1
2225,mirror.cross,0,0,8,11,2,-1
2234,mirror.cross,0,0,8,2,2,-1
2243,mirror.cross,0,0,8,6,2,1
2252,mirror.cross,0,0,8,10,2,-1
2261,mirror.cross,0,0,8,1,2,-1
2270,mirror.cross,0,0,8,7,2,1
2275,corner.diag,0,1,16,12,-2,1
2279,mirror.cross,1,-1,8,9,2,-1
2288,mirror.cross,-1,1,8,0,2,-1
2297,mirror.cross,1,-1,8,8,2,1
2301,corner.diag,-1,0,16,12,2,1
2302,corner.diag,0,1,16,12,-2,-1
2306,mirror.cross,1,-1,8,8,2,-1
2315,mirror.cross,-1,1,8,0,2,1
2324,mirror.cross,1,-1,8,9,2,1
2328,corner.diag,-1,0,16,12,2,-1
2333,mirror.cross,0,0,8,7,2,-1
2342,mirror.cross,0,0,8,1,2,1
2351,mirror.cross,0,0,8,10,2,1
2360,mirror.cross,0,0,8,6,2,-1
2369,mirror.cross,0,0,8,2,2,1
2378,mirror.cross,0,0,8,11,2,1
2387,mirror.cross,0,0,8,5,2,-1
2392,corner.off,0,0,16,0,-2,-1
2396,mirror.cross,0,0,8,3,2,1
2405,mirror.cross,0,0,8,12,2,1
2414,mirror.cross,0,0,8,4,2,-1
2418,corner.off,0,0,16,0,2,-1
2419,corner.off,0,0,16,0,-2,1
