step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
12,corner.off,0,0,0,16,-1,1
13,corner.off,0,0,0,16,1,-1
29,corner.diag,0,1,0,0,1,-1
132,corner.off,1,3,7,0,1,1
148,corner.diag,3,4,7,16,1,1
149,corner.diag,4,5,7,16,-1,-1
165,corner.off,5,15,7,0,-1,-1
268,corner.diag,15,16,0,0,-1,1
284,corner.off,16,48,0,16,-1,1
285,corner.off,48,144,0,16,1,-1
301,corner.diag,144,145,0,0,1,-1
404,corner.off,145,435,7,0,1,1
420,corner.diag,435,436,7,16,1,1
421,corner.diag,436,437,7,16,-1,-1
437,corner.off,437,1311,7,0,-1,-1
540,corner.diag,1311,1312,0,0,-1,1
556,corner.off,1312,3936,0,16,-1,1
557,corner.off,3936,11808,0,16,1,-1
573,corner.diag,11808,11809,0,0,1,-1
676,corner.off,11809,35427,7,0,1,1
692,corner.diag,35427,35428,7,16,1,1
693,corner.diag,35428,35429,7,16,-1,-1
709,corner.off,35429,106287,7,0,-1,-1
812,corner.diag,106287,106288,0,0,-1,1
828,corner.off,106288,318864,0,16,-1,1
829,corner.off,318864,956592,0,16,1,-1
845,corner.diag,956592,956593,0,0,1,-1
948,corner.off,956593,869773,7,0,1,1
964,corner.diag,869773,869774,7,16,1,1
965,corner.diag,869774,869775,7,16,-1,-1
981,corner.off,869775,609319,7,0,-1,-1
1084,corner.diag,609319,609320,0,0,-1,1
1100,corner.off,609320,827957,0,16,-1,1
1101,corner.off,827957,483865,0,16,1,-1
1117,corner.diag,483865,483866,0,0,1,-1
1220,corner.off,483866,451595,7,0,1,1
1236,corner.diag,451595,451596,7,16,1,1
1237,corner.diag,451596,451597,7,16,-1,-1
1253,corner.off,451597,354788,7,0,-1,-1
1356,corner.diag,354788,354789,0,0,-1,1
1372,corner.off,354789,64364,0,16,-1,1
1373,corner.off,64364,193092,0,16,1,-1
1389,corner.diag,193092,193093,0,0,1,-1
1492,corner.off,193093,579279,7,0,1,1
1508,corner.diag,579279,579280,7,16,1,1
1509,corner.diag,579280,579281,7,16,-1,-1
1525,corner.off,579281,737840,7,0,-1,-1
1628,corner.diag,737840,737841,0,0,-1,1
1644,corner.off,737841,213517,0,16,-1,1
1645,corner.off,213517,640551,0,16,1,-1
1661,corner.diag,640551,640552,0,0,1,-1
1764,corner.off,640552,921653,7,0,1,1
1780,corner.diag,921653,921654,7,16,1,1
1781,corner.diag,921654,921655,7,16,-1,-1
1797,corner.off,921655,764959,7,0,-1,-1
1900,corner.diag,764959,764960,0,0,-1,1
1916,corner.off,764960,294874,0,16,-1,1
1917,corner.off,294874,884622,0,16,1,-1
1933,corner.diag,884622,884623,0,0,1,-1
2036,corner.off,884623,653863,7,0,1,1
2052,corner.diag,653863,653864,7,16,1,1
2053,corner.diag,653864,653865,7,16,-1,-1
2069,corner.off,653865,961592,7,0,-1,-1
2172,corner.diag,961592,961593,0,0,-1,1
2188,corner.off,961593,884773,0,16,-1,1
2189,corner.off,884773,654313,0,16,1,-1
2205,corner.diag,654313,654314,0,0,1,-1
2308,corner.off,654314,962939,7,0,1,1
2324,corner.diag,962939,962940,7,16,1,1
2325,corner.diag,962940,962941,7,16,-1,-1
2341,corner.off,962941,888817,7,0,-1,-1
2444,corner.diag,888817,888818,0,0,-1,1
2460,corner.off,888818,666448,0,16,-1,1
2461,corner.off,666448,999341,0,16,1,-1
2477,corner.diag,999341,999342,0,0,1,-1
2580,corner.off,999342,998020,7,0,1,1
2596,corner.diag,998020,998021,7,16,1,1
2597,corner.diag,998021,998022,7,16,-1,-1
2613,corner.off,998022,994060,7,0,-1,-1
2716,corner.diag,994060,994061,0,0,-1,1
2732,corner.off,994061,982177,0,16,-1,1
2733,corner.off,982177,946525,0,16,1,-1
2749,corner.diag,946525,946526,0,0,1,-1
2852,corner.off,946526,839572,7,0,1,1
2868,corner.diag,839572,839573,7,16,1,1
2869,corner.diag,839573,839574,7,16,-1,-1
2885,corner.off,839574,518716,7,0,-1,-1
2988,corner.diag,518716,518717,0,0,-1,1
3004,corner.off,518717,556148,0,16,-1,1
3005,corner.off,556148,668441,0,16,1,-1
3021,corner.diag,668441,668442,0,0,1,-1
3124,corner.off,668442,5320,7,0,1,1
3140,corner.diag,5320,5321,7,16,1,1
3141,corner.diag,5321,5322,7,16,-1,-1
3157,corner.off,5322,15966,7,0,-1,-1
3260,corner.diag,15966,15967,0,0,-1,1
3276,corner.off,15967,47901,0,16,-1,1
3277,corner.off,47901,143703,0,16,1,-1
3293,corner.diag,143703,143704,0,0,1,-1
3396,corner.off,143704,431112,7,0,1,1
3412,corner.diag,431112,431113,7,16,1,1
3413,corner.diag,431113,431114,7,16,-1,-1
3429,corner.off,431114,293339,7,0,-1,-1
3532,corner.diag,293339,293340,0,0,-1,1
3548,corner.off,293340,880020,0,16,-1,1
3549,corner.off,880020,640054,0,16,1,-1
3565,corner.diag,640054,640055,0,0,1,-1
3668,corner.off,640055,920162,7,0,1,1
3684,corner.diag,920162,920163,7,16,1,1
3685,corner.diag,920163,920164,7,16,-1,-1
3701,corner.off,920164,760486,7,0,-1,-1
3804,corner.diag,760486,760487,0,0,-1,1
3820,corner.off,760487,281455,0,16,-1,1
3821,corner.off,281455,844365,0,16,1,-1
3837,corner.diag,844365,844366,0,0,1,-1
3940,corner.off,844366,533092,7,0,1,1
3956,corner.diag,533092,533093,7,16,1,1
3957,corner.diag,533093,533094,7,16,-1,-1
3973,corner.off,533094,599279,7,0,-1,-1
4076,corner.diag,599279,599280,0,0,-1,1
4092,corner.off,599280,797837,0,16,-1,1
4093,corner.off,797837,393505,0,16,1,-1
4109,corner.diag,393505,393506,0,0,1,-1
4212,corner.off,393506,180515,7,0,1,1
4228,corner.diag,180515,180516,7,16,1,1
4229,corner.diag,180516,180517,7,16,-1,-1
4245,corner.off,180517,541551,7,0,-1,-1
4348,corner.diag,541551,541552,0,0,-1,1
4364,corner.off,541552,624653,0,16,-1,1
4365,corner.off,624653,873956,0,16,1,-1
4381,corner.diag,873956,873957,0,0,1,-1
4484,corner.off,873957,621865,7,0,1,1
4500,corner.diag,621865,621866,7,16,1,1
4501,corner.diag,621866,621867,7,16,-1,-1
4517,corner.off,621867,865598,7,0,-1,-1
4620,corner.diag,865598,865599,0,0,-1,1
4636,corner.off,865599,596791,0,16,-1,1
4637,corner.off,596791,790370,0,16,1,-1
4653,corner.diag,790370,790371,0,0,1,-1
4756,corner.off,790371,371107,7,0,1,1
4772,corner.diag,371107,371108,7,16,1,1
4773,corner.diag,371108,371109,7,16,-1,-1
4789,corner.off,371109,113324,7,0,-1,-1
4892,corner.diag,113324,113325,0,0,-1,1
4908,corner.off,113325,339975,0,16,-1,1
4909,corner.off,339975,19922,0,16,1,-1
4925,corner.diag,19922,19923,0,0,1,-1
5028,corner.off,19923,59769,7,0,1,1
5044,corner.diag,59769,59770,7,16,1,1
5045,corner.diag,59770,59771,7,16,-1,-1
5061,corner.off,59771,179313,7,0,-1,-1
5164,corner.diag,179313,179314,0,0,-1,1
