step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
329,inversion.swap,0,0,4,4,-3,4
373,corner.diag,0,1,0,0,-3,-4
613,corner.off,1,7,16,0,3,-4
853,corner.diag,7,8,0,0,-3,-4
1093,corner.off,8,56,16,0,3,-4
1333,corner.diag,56,57,0,0,-3,-4
1573,corner.off,57,399,16,0,3,-4
1813,corner.diag,399,400,0,0,-3,-4
2053,corner.off,400,2800,16,0,3,-4
2293,corner.diag,2800,2801,0,0,-3,-4
2533,corner.off,2801,19607,16,0,3,-4
2773,corner.diag,19607,19608,0,0,-3,-4
3013,corner.off,19608,137256,16,0,3,-4
3253,corner.diag,137256,137257,0,0,-3,-4
3493,corner.off,137257,960799,16,0,3,-4
3733,corner.diag,960799,960800,0,0,-3,-4
3973,corner.off,960800,725582,16,0,3,-4
4213,corner.diag,725582,725583,0,0,-3,-4
4427,INVERT_GEOM,725583,725583,14,1,-3,4
4453,corner.off,725583,79066,0,15,-3,4
4693,corner.diag,79066,79067,16,15,3,4
4933,corner.off,79067,553469,0,15,-3,4
5173,corner.diag,553469,553470,16,15,3,4
5413,corner.off,553470,874281,0,15,-3,4
5653,corner.diag,874281,874282,16,15,3,4
5893,corner.off,874282,119956,0,15,-3,4
6133,corner.diag,119956,119957,16,15,3,4
6373,corner.off,119957,839699,0,15,-3,4
6613,corner.diag,839699,839700,16,15,3,4
6853,corner.off,839700,877885,0,15,-3,4
7093,corner.diag,877885,877886,16,15,3,4
7333,corner.off,877886,145184,0,15,-3,4
7573,corner.diag,145184,145185,16,15,3,4
7813,corner.off,145185,16292,0,15,-3,4
8053,corner.diag,16292,16293,16,15,3,4
8293,corner.off,16293,114051,0,15,-3,4
8533,corner.diag,114051,114052,16,15,3,4
8773,corner.off,114052,798364,0,15,-3,4
9013,corner.diag,798364,798365,16,15,3,4
9253,corner.off,798365,588540,0,15,-3,4
9493,corner.diag,588540,588541,16,15,3,4
9733,corner.off,588541,119775,0,15,-3,4
9973,corner.diag,119775,119776,16,15,3,4
10213,corner.off,119776,838432,0,15,-3,4
10453,corner.diag,838432,838433,16,15,3,4
10693,corner.off,838433,869016,0,15,-3,4
10933,corner.diag,869016,869017,16,15,3,4
11173,corner.off,869017,83101,0,15,-3,4
11413,corner.diag,83101,83102,16,15,3,4
11653,corner.off,83102,581714,0,15,-3,4
11893,corner.diag,581714,581715,16,15,3,4
12133,corner.off,581715,71993,0,15,-3,4
12373,corner.diag,71993,71994,16,15,3,4
12613,corner.off,71994,503958,0,15,-3,4
12853,corner.diag,503958,503959,16,15,3,4
13093,corner.off,503959,527704,0,15,-3,4
13333,corner.diag,527704,527705,16,15,3,4
13573,corner.off,527705,693926,0,15,-3,4
13813,corner.diag,693926,693927,16,15,3,4
14053,corner.off,693927,857477,0,15,-3,4
14293,corner.diag,857477,857478,16,15,3,4
14533,corner.off,857478,2328,0,15,-3,4
14572,INVERT_SPHERE,2328,2328,4,5,-3,-4
14712,corner.off,2328,16296,0,15,-3,4
14952,corner.diag,16296,16297,16,15,3,4
15192,corner.off,16297,114079,0,15,-3,4
15432,corner.diag,114079,114080,16,15,3,4
15672,corner.off,114080,798560,0,15,-3,4
15912,corner.diag,798560,798561,16,15,3,4
16152,corner.off,798561,589912,0,15,-3,4
16392,corner.diag,589912,589913,16,15,3,4
16632,corner.off,589913,129379,0,15,-3,4
16872,corner.diag,129379,129380,16,15,3,4
17112,corner.off,129380,905660,0,15,-3,4
17352,corner.diag,905660,905661,16,15,3,4
17592,corner.off,905661,339609,0,15,-3,4
17832,corner.diag,339609,339610,16,15,3,4
18072,corner.off,339610,377264,0,15,-3,4
18312,corner.diag,377264,377265,16,15,3,4
18552,corner.off,377265,640849,0,15,-3,4
18792,corner.diag,640849,640850,16,15,3,4
19032,corner.off,640850,485938,0,15,-3,4
19272,corner.diag,485938,485939,16,15,3,4
19512,corner.off,485939,401564,0,15,-3,4
