step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
26,corner.off,0,0,0,8,-1,-1
34,corner.off,0,0,6,0,-1,-1
61,corner.diag,0,1,6,8,1,1
62,corner.diag,1,2,6,8,-1,-1
89,corner.off,2,16,6,0,1,1
97,corner.off,16,128,0,8,1,1
124,corner.diag,128,129,0,0,-1,-1
125,corner.diag,129,130,0,0,1,1
152,corner.off,130,1040,0,8,-1,-1
160,corner.off,1040,8320,6,0,-1,-1
187,corner.diag,8320,8321,6,8,1,1
188,corner.diag,8321,8322,6,8,-1,-1
215,corner.off,8322,66576,6,0,1,1
223,corner.off,66576,532608,0,8,1,1
250,corner.diag,532608,532609,0,0,-1,-1
251,corner.diag,532609,532610,0,0,1,1
278,corner.off,532610,260868,0,8,-1,-1
286,corner.off,260868,86938,6,0,-1,-1
313,corner.diag,86938,86939,6,8,1,1
314,corner.diag,86939,86940,6,8,-1,-1
341,corner.off,86940,695520,6,0,1,1
349,corner.off,695520,564145,0,8,1,1
376,corner.diag,564145,564146,0,0,-1,-1
377,corner.diag,564146,564147,0,0,1,1
404,corner.off,564147,513164,0,8,-1,-1
412,corner.off,513164,105300,6,0,-1,-1
439,corner.diag,105300,105301,6,8,1,1
440,corner.diag,105301,105302,6,8,-1,-1
467,corner.off,105302,842416,6,0,1,1
475,corner.off,842416,739310,0,8,1,1
502,corner.diag,739310,739311,0,0,-1,-1
503,corner.diag,739311,739312,0,0,1,1
530,corner.off,739312,914481,0,8,-1,-1
538,corner.off,914481,315827,6,0,-1,-1
565,corner.diag,315827,315828,6,8,1,1
566,corner.diag,315828,315829,6,8,-1,-1
593,corner.off,315829,526626,6,0,1,1
601,corner.off,526626,212996,0,8,1,1
628,corner.diag,212996,212997,0,0,-1,-1
629,corner.diag,212997,212998,0,0,1,1
656,corner.off,212998,703981,0,8,-1,-1
664,corner.off,703981,631833,6,0,-1,-1
691,corner.diag,631833,631834,6,8,1,1
692,corner.diag,631834,631835,6,8,-1,-1
719,corner.off,631835,54665,6,0,1,1
727,corner.off,54665,437320,0,8,1,1
754,corner.diag,437320,437321,0,0,-1,-1
755,corner.diag,437321,437322,0,0,1,1
782,corner.off,437322,498567,0,8,-1,-1
790,corner.off,498567,988527,6,0,-1,-1
817,corner.diag,988527,988528,6,8,1,1
818,corner.diag,988528,988529,6,8,-1,-1
845,corner.off,988529,908211,6,0,1,1
853,corner.off,908211,265667,0,8,1,1
880,corner.diag,265667,265668,0,0,-1,-1
881,corner.diag,265668,265669,0,0,1,1
908,corner.off,265669,125346,0,8,-1,-1
916,corner.off,125346,2765,6,0,-1,-1
943,corner.diag,2765,2766,6,8,1,1
944,corner.diag,2766,2767,6,8,-1,-1
971,corner.off,2767,22136,6,0,1,1
979,corner.off,22136,177088,0,8,1,1
1006,corner.diag,177088,177089,0,0,-1,-1
