step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
64,corner.off,0,0,0,12,-1,-1
76,corner.off,0,0,10,0,-1,-1
141,corner.diag,0,1,10,12,1,1
142,corner.diag,1,2,10,12,-1,-1
207,corner.off,2,24,10,0,1,1
219,corner.off,24,288,0,12,1,1
284,corner.diag,288,289,0,0,-1,-1
285,corner.diag,289,290,0,0,1,1
350,corner.off,290,3480,0,12,-1,-1
362,corner.off,3480,41760,10,0,-1,-1
427,corner.diag,41760,41761,10,12,1,1
428,corner.diag,41761,41762,10,12,-1,-1
493,corner.off,41762,501144,10,0,1,1
505,corner.off,501144,13710,0,12,1,1
570,corner.diag,13710,13711,0,0,-1,-1
571,corner.diag,13711,13712,0,0,1,1
636,corner.off,13712,164544,0,12,-1,-1
648,corner.off,164544,974525,10,0,-1,-1
713,corner.diag,974525,974526,10,12,1,1
714,corner.diag,974526,974527,10,12,-1,-1
779,corner.off,974527,694291,10,0,1,1
791,corner.off,694291,331468,0,12,1,1
856,corner.diag,331468,331469,0,0,-1,-1
857,corner.diag,331469,331470,0,0,1,1
922,corner.off,331470,977631,0,12,-1,-1
934,corner.off,977631,731539,10,0,-1,-1
999,corner.diag,731539,731540,10,12,1,1
1000,corner.diag,731540,731541,10,12,-1,-1
1065,corner.off,731541,778468,10,0,1,1
1077,corner.off,778468,341589,0,12,1,1
1142,corner.diag,341589,341590,0,0,-1,-1
1143,corner.diag,341590,341591,0,0,1,1
1208,corner.off,341591,99080,0,12,-1,-1
1220,corner.off,99080,188957,10,0,-1,-1
1285,corner.diag,188957,188958,10,12,1,1
1286,corner.diag,188958,188959,10,12,-1,-1
1351,corner.off,188959,267502,10,0,1,1
1363,corner.off,267502,210015,0,12,1,1
1428,corner.diag,210015,210016,0,0,-1,-1
1429,corner.diag,210016,210017,0,0,1,1
1494,corner.off,210017,520198,0,12,-1,-1
1506,corner.off,520198,242358,10,0,-1,-1
1571,corner.diag,242358,242359,10,12,1,1
1572,corner.diag,242359,242360,10,12,-1,-1
1637,corner.off,242360,908314,10,0,1,1
1649,corner.off,908314,899738,0,12,1,1
1714,corner.diag,899738,899739,0,0,-1,-1
1715,corner.diag,899739,899740,0,0,1,1
1780,corner.off,899740,796850,0,12,-1,-1
1792,corner.off,796850,562173,10,0,-1,-1
1857,corner.diag,562173,562174,10,12,1,1
1858,corner.diag,562174,562175,10,12,-1,-1
1923,corner.off,562175,746082,10,0,1,1
1935,corner.off,746082,952960,0,12,1,1
2000,corner.diag,952960,952961,0,0,-1,-1
2001,corner.diag,952961,952962,0,0,1,1
2066,corner.off,952962,435511,0,12,-1,-1
2078,corner.off,435511,226117,10,0,-1,-1
2143,corner.diag,226117,226118,10,12,1,1
2144,corner.diag,226118,226119,10,12,-1,-1
2209,corner.off,226119,713422,10,0,1,1
2221,corner.off,713422,561040,0,12,1,1
2286,corner.diag,561040,561041,0,0,-1,-1
2287,corner.diag,561041,561042,0,0,1,1
2352,corner.off,561042,732486,0,12,-1,-1
2364,corner.off,732486,789808,10,0,-1,-1
2429,corner.diag,789808,789809,10,12,1,1
2430,corner.diag,789809,789810,10,12,-1,-1
2495,corner.off,789810,477693,10,0,1,1
2507,corner.off,477693,732301,0,12,1,1
2572,corner.diag,732301,732302,0,0,-1,-1
2573,corner.diag,732302,732303,0,0,1,1
2638,corner.off,732303,787612,0,12,-1,-1
2650,corner.off,787612,451317,10,0,-1,-1
2715,corner.diag,451317,451318,10,12,1,1
2716,corner.diag,451318,451319,10,12,-1,-1
2781,corner.off,451319,415813,10,0,1,1
2793,corner.off,415813,989744,0,12,1,1
2858,corner.diag,989744,989745,0,0,-1,-1
2859,corner.diag,989745,989746,0,0,1,1
