step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
82,corner.off,0,0,11,0,1,-1
83,corner.off,0,0,11,0,-1,1
166,corner.diag,0,1,0,0,-1,-1
167,corner.diag,1,2,0,0,1,1
250,corner.off,2,26,11,0,1,-1
251,corner.off,26,338,11,0,-1,1
334,corner.diag,338,339,0,0,-1,-1
335,corner.diag,339,340,0,0,1,1
418,corner.off,340,4420,11,0,1,-1
419,corner.off,4420,57460,11,0,-1,1
502,corner.diag,57460,57461,0,0,-1,-1
503,corner.diag,57461,57462,0,0,1,1
586,corner.off,57462,747006,11,0,1,-1
587,corner.off,747006,711051,11,0,-1,1
670,corner.diag,711051,711052,0,0,-1,-1
671,corner.diag,711052,711053,0,0,1,1
754,corner.off,711053,243662,11,0,1,-1
755,corner.off,243662,167597,11,0,-1,1
838,corner.diag,167597,167598,0,0,-1,-1
839,corner.diag,167598,167599,0,0,1,1
922,corner.off,167599,178781,11,0,1,-1
923,corner.off,178781,324147,11,0,-1,1
1006,corner.diag,324147,324148,0,0,-1,-1
1007,corner.diag,324148,324149,0,0,1,1
1090,corner.off,324149,213925,11,0,1,-1
1091,corner.off,213925,781019,11,0,-1,1
1174,corner.diag,781019,781020,0,0,-1,-1
1175,corner.diag,781020,781021,0,0,1,1
1258,corner.off,781021,153243,11,0,1,-1
1259,corner.off,153243,992156,11,0,-1,1
1342,corner.diag,992156,992157,0,0,-1,-1
1343,corner.diag,992157,992158,0,0,1,1
1426,corner.off,992158,898018,11,0,1,-1
1427,corner.off,898018,674201,11,0,-1,1
1510,corner.diag,674201,674202,0,0,-1,-1
1511,corner.diag,674202,674203,0,0,1,1
1594,corner.off,674203,764615,11,0,1,-1
1595,corner.off,764615,939968,11,0,-1,1
1678,corner.diag,939968,939969,0,0,-1,-1
1679,corner.diag,939969,939970,0,0,1,1
1762,corner.off,939970,219574,11,0,1,-1
1763,corner.off,219574,854456,11,0,-1,1
1846,corner.diag,854456,854457,0,0,-1,-1
1847,corner.diag,854457,854458,0,0,1,1
1930,corner.off,854458,107921,11,0,1,-1
1931,corner.off,107921,402970,11,0,-1,1
2014,corner.diag,402970,402971,0,0,-1,-1
2015,corner.diag,402971,402972,0,0,1,1
2098,corner.off,402972,238621,11,0,1,-1
2099,corner.off,238621,102064,11,0,-1,1
2182,corner.diag,102064,102065,0,0,-1,-1
2183,corner.diag,102065,102066,0,0,1,1
2266,corner.off,102066,326855,11,0,1,-1
2267,corner.off,326855,249103,11,0,-1,1
2350,corner.diag,249103,249104,0,0,-1,-1
2351,corner.diag,249104,249105,0,0,1,1
2434,corner.off,249105,238356,11,0,1,-1
2435,corner.off,238356,98619,11,0,-1,1
2518,corner.diag,98619,98620,0,0,-1,-1
2519,corner.diag,98620,98621,0,0,1,1
2602,corner.off,98621,282070,11,0,1,-1
2603,corner.off,282070,666901,11,0,-1,1
2686,corner.diag,666901,666902,0,0,-1,-1
2687,corner.diag,666902,666903,0,0,1,1
2770,corner.off,666903,669715,11,0,1,-1
2771,corner.off,669715,706271,11,0,-1,1
2854,corner.diag,706271,706272,0,0,-1,-1
2855,corner.diag,706272,706273,0,0,1,1
2938,corner.off,706273,181522,11,0,1,-1
2939,corner.off,181522,359780,11,0,-1,1
3022,corner.diag,359780,359781,0,0,-1,-1
3023,corner.diag,359781,359782,0,0,1,1
3106,corner.off,359782,677154,11,0,1,-1
3107,corner.off,677154,802978,11,0,-1,1
3190,corner.diag,802978,802979,0,0,-1,-1
3191,corner.diag,802979,802980,0,0,1,1
3274,corner.off,802980,438710,11,0,1,-1
3275,corner.off,438710,703215,11,0,-1,1
3358,corner.diag,703215,703216,0,0,-1,-1
3359,corner.diag,703216,703217,0,0,1,1
3442,corner.off,703217,141794,11,0,1,-1
3443,corner.off,141794,843319,11,0,-1,1
3526,corner.diag,843319,843320,0,0,-1,-1
3527,corner.diag,843320,843321,0,0,1,1
3610,corner.off,843321,963143,11,0,1,-1
3611,corner.off,963143,520823,11,0,-1,1
3694,corner.diag,520823,520824,0,0,-1,-1
3695,corner.diag,520824,520825,0,0,1,1
3778,corner.off,520825,770707,11,0,1,-1
3779,corner.off,770707,19161,11,0,-1,1
3862,corner.diag,19161,19162,0,0,-1,-1
3863,corner.diag,19162,19163,0,0,1,1
3946,corner.off,19163,249119,11,0,1,-1
3947,corner.off,249119,238538,11,0,-1,1
4030,corner.diag,238538,238539,0,0,-1,-1
4031,corner.diag,238539,238540,0,0,1,1
4114,corner.off,238540,101011,11,0,1,-1
4115,corner.off,101011,313140,11,0,-1,1
4198,corner.diag,313140,313141,0,0,-1,-1
4199,corner.diag,313141,313142,0,0,1,1
4282,corner.off,313142,70834,11,0,1,-1
4283,corner.off,70834,920842,11,0,-1,1
4366,corner.diag,920842,920843,0,0,-1,-1
4367,corner.diag,920843,920844,0,0,1,1
4450,corner.off,920844,970939,11,0,1,-1
4451,corner.off,970939,622171,11,0,-1,1
4534,corner.diag,622171,622172,0,0,-1,-1
4535,corner.diag,622172,622173,0,0,1,1
4618,corner.off,622173,88225,11,0,1,-1
4619,corner.off,88225,146922,11,0,-1,1
4702,corner.diag,146922,146923,0,0,-1,-1
4703,corner.diag,146923,146924,0,0,1,1
4786,corner.off,146924,910009,11,0,1,-1
4787,corner.off,910009,830084,11,0,-1,1
4870,corner.diag,830084,830085,0,0,-1,-1
4871,corner.diag,830085,830086,0,0,1,1
4954,corner.off,830086,791088,11,0,1,-1
4955,corner.off,791088,284114,11,0,-1,1
5038,corner.diag,284114,284115,0,0,-1,-1
5039,corner.diag,284115,284116,0,0,1,1
5122,corner.off,284116,693499,11,0,1,-1
5123,corner.off,693499,15460,11,0,-1,1
5206,corner.diag,15460,15461,0,0,-1,-1
5207,corner.diag,15461,15462,0,0,1,1
5290,corner.off,15462,201006,11,0,1,-1
5291,corner.off,201006,613072,11,0,-1,1
5374,corner.diag,613072,613073,0,0,-1,-1
5375,corner.diag,613073,613074,0,0,1,1
5458,corner.off,613074,969941,11,0,1,-1
5459,corner.off,969941,609197,11,0,-1,1
5542,corner.diag,609197,609198,0,0,-1,-1
5543,corner.diag,609198,609199,0,0,1,1
5626,corner.off,609199,919566,11,0,1,-1
5627,corner.off,919566,954325,11,0,-1,1
5710,corner.diag,954325,954326,0,0,-1,-1
5711,corner.diag,954326,954327,0,0,1,1
5794,corner.off,954327,406215,11,0,1,-1
5795,corner.off,406215,280780,11,0,-1,1
5878,corner.diag,280780,280781,0,0,-1,-1
5879,corner.diag,280781,280782,0,0,1,1
5962,corner.off,280782,650157,11,0,1,-1
5963,corner.off,650157,452017,11,0,-1,1
6046,corner.diag,452017,452018,0,0,-1,-1
6047,corner.diag,452018,452019,0,0,1,1
6130,corner.off,452019,876232,11,0,1,-1
6131,corner.off,876232,390983,11,0,-1,1
6214,corner.diag,390983,390984,0,0,-1,-1
6215,corner.diag,390984,390985,0,0,1,1
6298,corner.off,390985,82790,11,0,1,-1
6299,corner.off,82790,76267,11,0,-1,1
6382,corner.diag,76267,76268,0,0,-1,-1
6383,corner.diag,76268,76269,0,0,1,1
6466,corner.off,76269,991497,11,0,1,-1
6467,corner.off,991497,889425,11,0,-1,1
6550,corner.diag,889425,889426,0,0,-1,-1
6551,corner.diag,889426,889427,0,0,1,1
6634,corner.off,889427,562518,11,0,1,-1
6635,corner.off,562518,312713,11,0,-1,1
6718,corner.diag,312713,312714,0,0,-1,-1
6719,corner.diag,312714,312715,0,0,1,1
6802,corner.off,312715,65283,11,0,1,-1
6803,corner.off,65283,848679,11,0,-1,1
6886,corner.diag,848679,848680,0,0,-1,-1
6887,corner.diag,848680,848681,0,0,1,1
6970,corner.off,848681,32820,11,0,1,-1
6971,corner.off,32820,426660,11,0,-1,1
7054,corner.diag,426660,426661,0,0,-1,-1
7055,corner.diag,426661,426662,0,0,1,1
7138,corner.off,426662,546591,11,0,1,-1
7139,corner.off,546591,105662,11,0,-1,1
7222,corner.diag,105662,105663,0,0,-1,-1
7223,corner.diag,105663,105664,0,0,1,1
7306,corner.off,105664,373629,11,0,1,-1
7307,corner.off,373629,857165,11,0,-1,1
7390,corner.diag,857165,857166,0,0,-1,-1
7391,corner.diag,857166,857167,0,0,1,1
7474,corner.off,857167,143138,11,0,1,-1
7475,corner.off,143138,860791,11,0,-1,1
7558,corner.diag,860791,860792,0,0,-1,-1
7559,corner.diag,860792,860793,0,0,1,1
